company,outreach_wave,wave_name,classification_category,manual_review,send_policy,wave_reason
01.AI,Wave 6,Reserve pool,Reserve pool with manual-review flag,yes,manual_individual_review_only,Sensitive or strategic company. Do not include in batch send.
15Five,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
1Password,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
2U,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
6sense,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
ABB,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
ABCmouse,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
ACT,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
ADP,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
AI21 Labs,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
AIA Group,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
AIG,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
ALEKS,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
AMD,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
ASML,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
AT&T,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
AXA,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
AXIS Capital,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
Abridge,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Accela,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Accenture,Wave 4,"Category validators, partners, and adjacent evaluators",Validator / partner / category reader,no,not_allowed_until_verified,"Adjacent evaluator, consultant, governance, security, or AI assurance category reader."
Achieve3000,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Achmea,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
ActiveCampaign,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
Ada,Wave 3,"Support, procurement, and incident-response buyers",Support / procurement / incident-response buyer,no,not_allowed_until_verified,"Good vertical-pack fit with workflow handoff, false-completion, escalation, and recovery-path review."
Adept AI,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Aditya Birla Sun Life,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
Adobe,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Adobe Experience Cloud,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Adventure Academy,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Adyen,Wave 2,Finance and devtools expansion,Finance / reconciliation or devtools expansion,no,not_allowed_until_verified,"Strong buyer fit, likely operational pain, but should follow Wave 1 learning."
Aegon,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Aetna,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Aflac,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Age of Learning,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Ageas,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Agility Robotics,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
Agiloft,Wave 3,"Support, procurement, and incident-response buyers",Support / procurement / incident-response buyer,no,not_allowed_until_verified,"Good vertical-pack fit with workflow handoff, false-completion, escalation, and recovery-path review."
Aidoc,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
